,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
5444,Dead Rising: Chop Till You Drop,Wii,Action,Capcom,Capcom Production Studio 1 / TOSE Software,6.7,0.29,0.15,0.05,0.07,0.02,2009-02-24
5450,Sengoku Basara: Samurai Heroes,Wii,Action,Capcom,Capcom,6.0,0.29,0.06,0.2,0.02,0.01,2010-10-12
5451,Warriors Orochi 2,PSP,Action,KOEI,Omega Force,5.3,0.29,0.06,0.22,0.0,0.01,2009-08-25
5455,Dynasty Warriors: Strikeforce,PS3,Action,Tecmo Koei,Omega Force,6.8,0.29,0.11,0.07,0.08,0.03,2010-02-16
5457,Trace Memory,DS,Adventure,Nintendo,Cing,6.5,0.29,0.15,0.12,0.01,0.01,2005-09-26
5489,Wanted: Weapons of Fate,PS3,Shooter,Warner Bros. Interactive,GRIN,6.2,0.29,0.14,0.01,0.1,0.04,2009-03-24
5501,Patapon 3,PSP,Platform,Sony Computer Entertainment,Pyramid/JAPAN Studio,7.4,0.28,0.05,0.17,0.04,0.02,2011-04-12
5503,Rhythm Thief & the Emperor's Treasure,3DS,Misc,Sega,Sega,7.5,0.28,0.07,0.12,0.07,0.01,2012-07-10
5533,WarioWare Gold,3DS,Misc,Nintendo,Intelligent Systems,8.1,0.28,0.11,0.13,0.03,0.01,2018-08-03
5540,Darksiders,PS3,Action,THQ,Vigil Games,7.8,0.28,0.02,0.02,0.14,0.1,2010-01-05
5567,El Shaddai: Ascension of the Metatron,PS3,Action,Ignition Entertainment,Ignition Entertainment,8.0,0.28,0.11,0.08,0.07,0.03,2011-08-16
5569,Bladestorm: The Hundred Years' War,PS3,Action,KOEI,Omega Force,5.8,0.28,0.1,0.14,0.03,0.02,2007-11-06
5578,Operation Flashpoint: Red River,X360,Shooter,Codemasters,Codemasters,7.0,0.28,0.1,0.01,0.14,0.03,2011-06-07
5588,Dead to Rights: Retribution,PS3,Shooter,Namco Bandai,Volatile Games,6.0,0.28,0.1,0.02,0.12,0.05,2010-04-27
5624,Armored Core: Project Phantasma,PS,Simulation,ASCII Entertainment,From Software,7.2,0.28,0.06,0.15,0.04,0.02,1998-09-30
5631,Etrian Mystery Dungeon,3DS,Role-Playing,Atlus,Spike Chunsoft,7.6,0.28,0.11,0.14,0.01,0.01,2015-04-07
5633,Shadow Hearts,PS2,Role-Playing,Midway Games,Sacnoth,7.0,0.28,0.09,0.1,0.07,0.02,2001-12-11
5638,Dead or Alive,PS,Fighting,Tecmo,Team Ninja,8.3,0.28,0.09,0.1,0.06,0.02,1998-03-31
5645,Virtua Fighter 5 Online,X360,Fighting,Sega,Sega-AM2,9.2,0.28,0.2,0.03,0.02,0.02,2007-10-30
5652,Mega Man ZX,DS,Platform,Capcom,Inti Creates,8.1,0.28,0.16,0.1,0.0,0.02,2006-09-12
5659,DeathSmiles,X360,Shooter,Aksys Games,Cave,8.0,0.28,0.15,0.05,0.06,0.02,2010-06-29
5660,Mister Mosquito,PS2,Shooter,Eidos Interactive,Zoom Inc.,6.6,0.28,0.05,0.17,0.04,0.01,2002-03-12
5696,Dragon Ball Z: Tenkaichi Tag Team,PSP,Fighting,Namco Bandai,Dimps Corporation,6.0,0.27,0.11,0.09,0.04,0.03,2010-10-19
